Name,Address,Latitude,Longitude,Notes,Group,Use HTML,Button Link,Tags
Certified Café Paris 7,"83P Rue du Bac, 75007 Paris, France",48.8541288,2.3248502,"<p>Un espresso-bar élégant et épuré situé dans le paisible Beaupassage, parfait pour prendre un bon café de spécialité. </p><p>L’ambiance est calme et inspirante en journée, avec un décor minimaliste idéal pour se poser.</p>",,,https://g.co/kgs/DuhzBf3,"Lumineux,Silencieux,Team Friendly"
ONI Coffee Shop,"10 Bd Saint-Martin, 75010 Paris, France",48.86881670000001,2.3577134,"<p>Un coffee shop lumineux et épuré, à deux pas du canal.<br/>Idéal pour changer d’air en semaine, avec bon café, un ami et une ambiance tranquille.</p>",,,https://g.co/kgs/8V9MAqQ,"Lumineux,Silencieux"
Maru,"57 Rue des Petits Champs, 75001 Paris, France",48.867225,2.334639,"<p>Un café ultra stylé à l’ambiance douce et minimaliste.</p><p>Idéal pour bosser dans une atmosphère apaisée, avec une offre food et boisson aussi belle que qualitative.</p>",,,https://g.co/kgs/L2AE6KE,"Team Friendly,Lumineux,Confortable,Silencieux"
The People Paris Nation,"28 Bis Pl. de la Nation, 75012 Paris, France",48.8477131,2.3973172,"<p>Un espace dans une Hostel design, calme en journée, accessible sans résider sur place.<br/>Parfait pour bosser en toute tranquillité, puis profiter d’une ambiance plus festive en fin de journée.</p>",,,https://g.co/kgs/kgNRAxS,
The People Belleville,"59 Bd de Belleville, 75011 Paris, France",48.8700278,2.378914599999999,"<p>Un lieu chaleureux et brut, entre coffee shop et bar d’hostel.<br/>Idéal pour travailler l’après-midi dans une ambiance détendue, avec une transition naturelle vers le mode apéro en soirée.</p>",,,https://g.co/kgs/YFErSc1,
La REcyclerie,"83 Bd Ornano, 75018 Paris, France",48.89761149999999,2.3440232,"<p>Un grand ancien hangar-gare réhabilité, chaleureux et végétal, avec rez-de-chaussée lumineux et mezzanine cosy. Parfaitement adapté aux petites équipes, l’endroit invite à travailler dans un cadre inspirant — même s’il n’y a pas de prises pour tout le monde.</p>",,,https://g.co/kgs/K9kodKU,"Team Friendly,Lumineux,Service Continu,Animé"
La Main Noire,"12 Rue Cavallotti, 75018 Paris, France",48.8864335,2.3282134,"<p>Un coffee shop chaleureux au style brut et végétal.<br/>Avant tout un restaurant, on y vient pour savourer leurs recettes maison et cafés —<strong> les ordis sont les bienvenus en dehors du déj et week-end.</strong></p>",,,https://g.co/kgs/Mq28ezt,
Le Bichat,"11 Rue Bichat, 75010 Paris, France",48.87025440000001,2.3687356,"<p>Un café-bistrot spacieux et accueillant, avec tables en bas et canapés cosy à l’étage.<br/>Parfait pour s’installer longtemps et profiter d’une cuisine ultra consciente dans une ambiance détendue.</p>",,,https://g.co/kgs/vJxBGpM,"Team Friendly,Lumineux,Confortable"
LEMONADE,"15 Rue du Poteau, 75018 Paris, France",48.89338009999999,2.3424713,"<p>Un café végétal, lumineux et minimaliste.<br/>Idéal pour une pause après un rendez-vous ou un moment de travail express, autour d’un jus frais ou d’une glace en été.</p>",,,https://g.co/kgs/W3h3veP,"Animé,Lumineux"
Cafet'o París 17,"18 Rue Biot, 75017 Paris, France",48.8845221,2.3260987,"<p>Un coffee‑shop colombien stylé, calme et chaleureux.<br/>Décor végétalisé, lumière douce, parfait pour s’installer au calme. En-cas salés et sucrés disponibles toute la journée !</p>",,,https://g.co/kgs/DFij26E,"Silencieux,Service Continu,Confortable"
Yora Restaurant Ternes,"10 Rue Bayen, 75017 Paris, France",48.8793704,2.2952181,"<p>Un resto péruvien moderne, lumineux et bien situé.<br/>Calme entre les services, idéal pour bosser tout en profitant d’une offre sucrée-salée servie en continu.</p>",,,https://g.co/kgs/gNjZaGK,"Lumineux,Service Continu,Confortable"
Yora Restaurant - Sentier,"53 Rue du Caire, 75002 Paris, France",48.86805699999999,2.348506699999999,"<p>Un restaurant péruvien moderne, lumineux et décoré avec goût. </p><p>Paisible hors des repas, idéal pour bosser en solo ou à deux, avec salé et sucré dispo toute la journée !</p>",,,https://g.co/kgs/vGUbvKe,"Lumineux,Silencieux,Confortable"
Diasporâs,"6 Rue de Tracy, 75002 Paris, France",48.8680281,2.3531445,"<p>Un restaurant africain chaleureux, avec plusieurs salles à l’étage.<br/>Ambiance détendue en journée, idéale pour bosser en équipe ou en solo autour d’un bon plat !</p>",,,https://g.co/kgs/xkNaMia,"Team Friendly,Silencieux,Service Continu"
